Designator,Footprint,Quantity,Value,LCSC Part #
"3.3V1_8, 3.3V1_7, 3.3V1_6, 3.3V1_5, 3.3V1_4, 3.3V1_3, 3.3V1_2, 3.3V1, DI1_8, DI1_7, DI1_6, DI1_5, DI1_4, DI1_3, DI1_2, DI1, DO1_8, DO1_7, DO1_6, DO1_5, DO1_4, DO1_3, DO1_2, DO1, GND1_8, GND1_7, GND1_6, GND1_5, GND1_4, GND1_3, GND1_2, GND1, JLED1_8, JLED1_7, JLED1_6, JLED1_5, JLED1_4, JLED1_3, JLED1_2, JLED1, JPUUSB1_8, JPUUSB1_7, JPUUSB1_6, JPUUSB1_5, JPUUSB1_4, JPUUSB1_3, JPUUSB1_2, JPUUSB1, JRST1_8, JRST1_7, JRST1_6, JRST1_5, JRST1_4, JRST1_3, JRST1_2, JRST1, JSH1_8, JSH1_7, JSH1_6, JSH1_5, JSH1_4, JSH1_3, JSH1_2, JSH1, JSL1_8, JSL1_7, JSL1_6, JSL1_5, JSL1_4, JSL1_3, JSL1_2, JSL1",PTH 1.7mm,72,~,
"BOOT1_8, BOOT1_7, BOOT1_6, BOOT1_5, BOOT1_4, BOOT1_3, BOOT1_2, BOOT1",3x PTH 1.7mm,8,~,
"CC1_1_8, CC1_1_7, CC1_1_6, CC1_1_5, CC1_1_4, CC1_1_3, CC1_1_2, CC1_1, CC2_1_8, CC2_1_7, CC2_1_6, CC2_1_5, CC2_1_4, CC2_1_3, CC2_1_2, CC2_1, SBU1_1_8, SBU1_1_7, SBU1_1_6, SBU1_1_5, SBU1_1_4, SBU1_1_3, SBU1_1_2, SBU1_1, SBU2_1_8, SBU2_1_7, SBU2_1_6, SBU2_1_5, SBU2_1_4, SBU2_1_3, SBU2_1_2, SBU2_1, VBUS_1_8, VBUS_1_7, VBUS_1_6, VBUS_1_5, VBUS_1_4, VBUS_1_3, VBUS_1_2, VBUS_1",TestPoint_THTPad_D1.0mm_Drill0.5mm,40,~,
"CLED1_8, CLED1_7, CLED1_6, CLED1_5, CLED1_4, CLED1_3, CLED1_2, CLED1, CRST1_8, CRST1_7, CRST1_6, CRST1_5, CRST1_4, CRST1_3, CRST1_2, CRST1, CVSS1_8, CVSS1_7, CVSS1_6, CVSS1_5, CVSS1_4, CVSS1_3, CVSS1_2, CVSS1, CVSS2_8, CVSS2_7, CVSS2_6, CVSS2_5, CVSS2_4, CVSS2_3, CVSS2_2, CVSS2, CVSS3_8, CVSS3_7, CVSS3_6, CVSS3_5, CVSS3_4, CVSS3_3, CVSS3_2, CVSS3",C0402,40,100nF,C1525
"COSC1_8, COSC1_7, COSC1_6, COSC1_5, COSC1_4, COSC1_3, COSC1_2, COSC1, COSC2_8, COSC2_7, COSC2_6, COSC2_5, COSC2_4, COSC2_3, COSC2_2, COSC2",C0402,16,30pF,C1570
"CUIN1_8, CUIN1_7, CUIN1_6, CUIN1_5, CUIN1_4, CUIN1_3, CUIN1_2, CUIN1, CUOUT1_8, CUOUT1_7, CUOUT1_6, CUOUT1_5, CUOUT1_4, CUOUT1_3, CUOUT1_2, CUOUT1, CVSSA1_8, CVSSA1_7, CVSSA1_6, CVSSA1_5, CVSSA1_4, CVSSA1_3, CVSSA1_2, CVSSA1",C0402,24,1μF,C52923
"CVCC1_8, CVCC1_7, CVCC1_6, CVCC1_5, CVCC1_4, CVCC1_3, CVCC1_2, CVCC1",C1206,8,4.7uF,C29823
"CVSSAN1_8, CVSSAN1_7, CVSSAN1_6, CVSSAN1_5, CVSSAN1_4, CVSSAN1_3, CVSSAN1_2, CVSSAN1",C0402,8,10nF,C15195
"IDE_STM_A1_8, IDE_STM_A1_7, IDE_STM_A1_6, IDE_STM_A1_5, IDE_STM_A1_4, IDE_STM_A1_3, IDE_STM_A1_2, IDE_STM_A1",IDE STM A,8,~,
"IDE_STM_B1_8, IDE_STM_B1_7, IDE_STM_B1_6, IDE_STM_B1_5, IDE_STM_B1_4, IDE_STM_B1_3, IDE_STM_B1_2, IDE_STM_B1",IDE STM B cut,8,~,
