Designator,Mid X,Mid Y,Rotation,Layer
3.3V1_8,29.67,-70.36,270.0,top
3.3V1_7,44.93,-29.24,90.0,top
3.3V1_6,70.33,-29.24,90.0,top
3.3V1_5,55.07,-70.36,270.0,top
3.3V1_4,4.27,-70.36,270.0,top
3.3V1_3,80.47,-70.36,270.0,top
3.3V1_2,19.53,-29.24,90.0,top
3.3V1,95.73,-29.24,90.0,top
BOOT1_8,90.63,-85.6,0.0,top
BOOT1_7,39.83,-85.6,0.0,top
BOOT1_6,85.57,-14.0,180.0,top
BOOT1_5,60.17,-14.0,180.0,top
BOOT1_4,34.77,-14.0,180.0,top
BOOT1_3,65.23,-85.6,0.0,top
BOOT1_2,9.37,-14.0,180.0,top
BOOT1,14.43,-85.6,0.0,top
CLED1_8,64.0362,-65.3816,180.0,top
CLED1_7,13.2362,-65.3816,180.0,top
CLED1_6,10.5638,-34.2184,0.0,top
CLED1_5,38.6362,-65.3816,180.0,top
CLED1_4,89.4362,-65.3816,180.0,top
CLED1_3,35.9638,-34.2184,0.0,top
CLED1_2,86.7638,-34.2184,0.0,top
CLED1,61.3638,-34.2184,0.0,top
COSC1_8,57.4268,-28.0462,45.0,top
COSC1_7,93.3732,-71.5538,225.0,top
COSC1_6,67.9732,-71.5538,225.0,top
COSC1_5,32.0268,-28.0462,45.0,top
COSC1_4,42.5732,-71.5538,225.0,top
COSC1_3,6.6268,-28.0462,45.0,top
COSC1_2,82.8268,-28.0462,45.0,top
COSC1,17.1732,-71.5538,225.0,top
COSC2_8,6.4998,-32.4912,315.0,top
COSC2_7,82.6998,-32.4912,315.0,top
COSC2_6,31.8998,-32.4912,315.0,top
COSC2_5,17.3002,-67.1088,135.0,top
COSC2_4,57.2998,-32.4912,315.0,top
COSC2_3,42.7002,-67.1088,135.0,top
COSC2_2,68.1002,-67.1088,135.0,top
COSC2,93.5002,-67.1088,135.0,top
CRST1_8,62.7916,-54.8152,270.0,top
CRST1_7,88.0084,-44.7848,90.0,top
CRST1_6,11.8084,-44.7848,90.0,top
CRST1_5,37.2084,-44.7848,90.0,top
CRST1_4,88.1916,-54.8152,270.0,top
CRST1_3,62.6084,-44.7848,90.0,top
CRST1_2,37.3916,-54.8152,270.0,top
CRST1,11.9916,-54.8152,270.0,top
CUIN1_8,15.573,-89.5712,270.0,top
CUIN1_7,8.227,-10.0288,90.0,top
CUIN1_6,91.773,-89.5712,270.0,top
CUIN1_5,33.627,-10.0288,90.0,top
CUIN1_4,66.373,-89.5712,270.0,top
CUIN1_3,40.973,-89.5712,270.0,top
CUIN1_2,84.427,-10.0288,90.0,top
CUIN1,59.027,-10.0288,90.0,top
CUOUT1_8,5.941,-6.6848,90.0,top
CUOUT1_7,31.341,-6.6848,90.0,top
CUOUT1_6,56.741,-6.6848,90.0,top
CUOUT1_5,82.141,-6.6848,90.0,top
CUOUT1_4,17.859,-92.9152,270.0,top
CUOUT1_3,94.059,-92.9152,270.0,top
CUOUT1_2,43.259,-92.9152,270.0,top
CUOUT1,68.659,-92.9152,270.0,top
CVCC1_8,11.8138,-62.1812,90.0,top
CVCC1_7,62.6138,-62.1812,90.0,top
CVCC1_6,88.0138,-62.1812,90.0,top
CVCC1_5,88.1862,-37.4188,270.0,top
CVCC1_4,11.9862,-37.4188,270.0,top
CVCC1_3,37.2138,-62.1812,90.0,top
CVCC1_2,37.3862,-37.4188,270.0,top
CVCC1,62.7862,-37.4188,270.0,top
CVSS1_8,70.7872,-26.4206,270.0,top
CVSS1_7,80.0128,-73.1794,90.0,top
CVSS1_6,45.3872,-26.4206,270.0,top
CVSS1_5,29.2128,-73.1794,90.0,top
CVSS1_4,19.9872,-26.4206,270.0,top
CVSS1_3,54.6128,-73.1794,90.0,top
CVSS1_2,3.8128,-73.1794,90.0,top
CVSS1,96.1872,-26.4206,270.0,top
CVSS2_8,91.5644,-18.7928,0.0,top
CVSS2_7,33.8356,-80.8072,180.0,top
CVSS2_6,66.1644,-18.7928,0.0,top
CVSS2_5,59.2356,-80.8072,180.0,top
CVSS2_4,8.4356,-80.8072,180.0,top
CVSS2_3,40.7644,-18.7928,0.0,top
CVSS2_2,84.6356,-80.8072,180.0,top
CVSS2,15.3644,-18.7928,0.0,top
CVSS3_8,67.3128,-77.2434,180.0,top
CVSS3_7,58.0872,-22.3566,0.0,top
CVSS3_6,16.5128,-77.2434,180.0,top
CVSS3_5,7.2872,-22.3566,0.0,top
CVSS3_4,41.9128,-77.2434,180.0,top
CVSS3_3,92.7128,-77.2434,180.0,top
CVSS3_2,83.4872,-22.3566,0.0,top
CVSS3,32.6872,-22.3566,0.0,top
CVSSA1_8,12.3638,-67.4136,180.0,top
CVSSA1_7,88.5638,-67.4136,180.0,top
CVSSA1_6,62.2362,-32.1864,0.0,top
CVSSA1_5,11.4362,-32.1864,0.0,top
CVSSA1_4,37.7638,-67.4136,180.0,top
CVSSA1_3,36.8362,-32.1864,0.0,top
CVSSA1_2,87.6362,-32.1864,0.0,top
CVSSA1,63.1638,-67.4136,180.0,top
CVSSAN1_8,11.255,-68.582,180.0,top
CVSSAN1_7,37.945,-31.018,0.0,top
CVSSAN1_6,62.055,-68.582,180.0,top
CVSSAN1_5,88.745,-31.018,0.0,top
CVSSAN1_4,87.455,-68.582,180.0,top
CVSSAN1_3,36.655,-68.582,180.0,top
CVSSAN1_2,63.345,-31.018,0.0,top
CVSSAN1,12.545,-31.018,0.0,top
DI1_8,16.97,-57.66,270.0,top
DI1_7,32.23,-41.94,90.0,top
DI1_6,57.63,-41.94,90.0,top
DI1_5,67.77,-57.66,270.0,top
DI1_4,93.17,-57.66,270.0,top
DI1_3,42.37,-57.66,270.0,top
DI1_2,6.83,-41.94,90.0,top
DI1,83.03,-41.94,90.0,top
DO1_8,34.77,-41.94,0.0,top
DO1_7,85.57,-41.94,0.0,top
DO1_6,9.37,-41.94,0.0,top
DO1_5,14.43,-57.66,180.0,top
DO1_4,65.23,-57.66,180.0,top
DO1_3,60.17,-41.94,0.0,top
DO1_2,39.83,-57.66,180.0,top
DO1,90.63,-57.66,180.0,top
GND1_8,19.53,-31.78,0.0,top
GND1_7,55.07,-67.82,180.0,top
GND1_6,29.67,-67.82,180.0,top
GND1_5,4.27,-67.82,180.0,top
GND1_4,95.73,-31.78,0.0,top
GND1_3,80.47,-67.82,180.0,top
GND1_2,44.93,-31.78,0.0,top
GND1,70.33,-31.78,0.0,top
IDE_STM_A1_8,77.93,-86.87,180.0,top
IDE_STM_A1_7,72.87,-12.73,0.0,top
IDE_STM_A1_6,52.53,-86.87,180.0,top
IDE_STM_A1_5,1.73,-86.87,180.0,top
IDE_STM_A1_4,98.27,-12.73,0.0,top
IDE_STM_A1_3,27.13,-86.87,180.0,top
IDE_STM_A1_2,22.07,-12.73,0.0,top
IDE_STM_A1,47.47,-12.73,0.0,top
IDE_STM_B1_8,27.13,-62.3995,180.0,top
IDE_STM_B1_7,52.53,-62.3995,180.0,top
IDE_STM_B1_6,77.93,-62.3995,180.0,top
IDE_STM_B1_5,47.47,-37.2005,0.0,top
IDE_STM_B1_4,98.27,-37.2005,0.0,top
IDE_STM_B1_3,1.73,-62.3995,180.0,top
IDE_STM_B1_2,22.07,-37.2005,0.0,top
IDE_STM_B1,72.87,-37.2005,0.0,top
IDE_STM_C1_8,47.45,-86.87,180.0,top
IDE_STM_C1_7,77.95,-12.73,0.0,top
IDE_STM_C1_6,98.25,-86.87,180.0,top
IDE_STM_C1_5,52.55,-12.73,0.0,top
IDE_STM_C1_4,72.85,-86.87,180.0,top
IDE_STM_C1_3,1.75,-12.73,0.0,top
IDE_STM_C1_2,22.05,-86.87,180.0,top
